Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
13-Nov-25,Slot-3,318A,A,1,23BTRCN036,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,2,23BTRCN039,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,3,23BTRCN042,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,4,23BTRCN043,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,5,23BTRCN044,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,6,23BTRCN046,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,7,23BTRCN048,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,8,23BTRCN049,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,9,23BTRCN050,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,10,23BTRCN052,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,11,23BTRCN055,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,12,23BTRCN056,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,13,23BTRCN057,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,14,23BTRCN058,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,15,23BTRCN061,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,16,23BTRCN063,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,17,23BTRCN064,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,18,23BTRCN066,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,19,23BTRCN067,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,20,23BTRCN068,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,21,23BTRCN069,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,22,23BTRCN070,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,23,23BTRCN072,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,24,23BTRCN073,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,25,23BTRCN074,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,26,23BTRCN076,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,27,23BTRCN085,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,28,23BTRCN086,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,29,23BTRCN090,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,30,23BTTCN001,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,31,23BTTCN002,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,32,23BTRCL002,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,33,23BTRCL003,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,34,23BTRCL010,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,35,23BTRCL012,Tst38,22HSS101
13-Nov-25,Slot-3,318A,A,36,23BTRCL013,Tst38,22HSS101
13-Nov-25,Slot-3,318A,B,1,23BTRDC001,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,2,23BTRDC002,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,3,23BTRDC003,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,4,23BTRDC004,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,5,23BTRDC005,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,6,23BTRDC006,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,7,23BTRDC007,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,8,23BTRDC008,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,9,23BTRDC009,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,10,23BTRDC010,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,11,23BTRDC011,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,12,23BTRDC012,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,13,23BTRDC013,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,14,23BTRDC014,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,15,23BTRDC015,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,16,23BTRDC016,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,17,23BTRDC017,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,18,23BTRDC018,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,19,23BTRDC019,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,20,23BTRDC020,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,21,23BTRDC021,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,22,23BTRDC022,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,23,23BTRDC023,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,24,23BTRDC024,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,25,23BTRDC025,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,26,23BTRDC026,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,27,23BTRDC027,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,28,23BTRDC028,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,29,23BTRDC029,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,30,23BTRDC030,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,31,23BTRDC031,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,32,23BTRDC032,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,33,23BTRDC033,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,34,23BTRDC034,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,35,23BTRDC035,Tst48,23CSE515
13-Nov-25,Slot-3,318A,B,36,23BTRDC036,Tst48,23CSE515
13-Nov-25,Slot-3,327B,A,1,23BTRCN087,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,2,23BTRCN088,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,3,23BTRCN089,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,4,23BTRCN091,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,5,23BTRCN092,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,6,23BTLCN005,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,7,23BTLCN006,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,8,23BTLCN012,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,9,20BTRCS062,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,10,23BTLCN001,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,11,23BTLCN002,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,12,23BTLCN003,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,13,23BTLCN004,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,14,23BTLCN007,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,15,23BTLCN008,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,16,23BTLCN009,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,17,23BTLCN010,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,18,23BTLCN011,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,19,23BTLCN013,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,20,23BTLCN014,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,21,23BTLCN015,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,22,23BTLCN016,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,23,23BTLCN017,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,24,23BTRCN001,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,25,23BTRCN004,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,26,23BTRCN011,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,27,23BTRCN013,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,28,23BTRCN015,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,29,23BTRCN016,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,30,23BTRCN020,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,31,23BTRCN021,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,32,23BTRCN022,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,33,23BTRCN027,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,34,23BTRCN028,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,35,23BTRCN029,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,36,23BTRCN030,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,37,23BTRCN031,Tst38,22HSS101
13-Nov-25,Slot-3,327B,A,38,23BTRCN034,Tst38,22HSS101
13-Nov-25,Slot-3,327B,B,1,,,
13-Nov-25,Slot-3,327B,B,2,,,
13-Nov-25,Slot-3,327B,B,3,,,
