Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
13-Nov-25,Slot-2,318A,A,1,22BTRSN055,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,2,22BTRSN057,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,3,22BTRSN058,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,4,22BTRSN060,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,5,22BTRSN065,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,6,22BTRSN066,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,7,22BTRSN067,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,8,22BTRSN068,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,9,22BTLSN001,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,10,22BTLSN002,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,11,22BTREC024,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,12,22BTRCM002,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,13,22BTRCM003,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,14,22BTRCM004,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,15,22BTRCM005,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,16,22BTRCM006,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,17,22BTRCM007,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,18,22BTRCM009,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,19,22BTRCM010,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,20,22BTRCM011,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,21,22BTRCM012,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,22,22BTRCM013,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,23,22BTRCM014,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,24,22BTRCM015,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,25,22BTRCM016,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,26,22BTRCM018,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,27,22BTRCM019,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,28,22BTRCM020,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,29,22BTRCM021,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,30,22BTRCM022,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,31,22BTRCM023,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,32,22BTRCM024,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,33,22BTRCM025,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,34,22BTRCM026,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,35,22BTRCM027,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,A,36,22BTRCM028,Tst207,22JUGEHSS33
13-Nov-25,Slot-2,318A,B,1,22BTRCA004,Tst206,22JUGEHSS32
13-Nov-25,Slot-2,318A,B,2,22BTRCA018,Tst206,22JUGEHSS32
13-Nov-25,Slot-2,318A,B,3,22BTRCA023,Tst206,22JUGEHSS32
13-Nov-25,Slot-2,318A,B,4,22BTRCA025,Tst206,22JUGEHSS32
13-Nov-25,Slot-2,318A,B,5,22BTRCA026,Tst206,22JUGEHSS32
13-Nov-25,Slot-2,318A,B,6,22BTRCA046,Tst206,22JUGEHSS32
13-Nov-25,Slot-2,318A,B,7,22BTRCA057,Tst206,22JUGEHSS32
