Date,Slot,Room,Block,SeatNo,USN,Course-sNo,Course-Code
16-Sept-25,Slot-3,327B,A,1,23BTRCL068,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,2,23BTRCL069,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,3,23BTRCL070,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,4,23BTRCL071,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,5,23BTRCL072,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,6,23BTRCL091,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,7,23BTRCL093,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,8,23BTRCL101,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,9,23BTRCL110,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,10,23BTRCL111,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,11,23BTRCL139,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,12,23BTRCL150,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,13,23BTRCL151,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,14,23BTRCL152,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,15,23BTRCL154,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,16,23BTRCL155,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,17,23BTRCL156,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,18,23BTRCL157,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,19,23BTRCL158,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,20,23BTRCL159,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,21,23BTRCL160,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,22,23BTRCL164,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,23,23BTRCL184,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,24,23BTRCL196,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,25,23BTRCL209,Tst45,23CSE226
16-Sept-25,Slot-3,327B,A,26,23BTRCL210,Tst45,23CSE226
